Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,1.15,1.19,1.15,1.18,1.18,326000
2017-01-04,1.12,1.24,1.12,1.23,1.23,825500
2017-01-05,1.25,1.28,1.22,1.27,1.27,642400
2017-01-06,1.28,1.3,1.23,1.25,1.25,360200
2017-01-09,1.3,1.3,1.25,1.27,1.27,277500
2017-01-10,1.28,1.29,1.24,1.24,1.24,267200
2017-01-11,1.25,1.29,1.2,1.21,1.21,270600
2017-01-12,1.22,1.22,1.16,1.18,1.18,354400
2017-01-13,1.19,1.23,1.16,1.2,1.2,137000
2017-01-17,1.2,1.22,1.16,1.19,1.19,160000
2017-01-18,1.19,1.19,1.16,1.17,1.17,207500
2017-01-19,1.19,1.19,1.15,1.16,1.16,193100
2017-01-20,1.16,1.2,1.13,1.19,1.19,413900
2017-01-23,1.19,1.19,1.13,1.14,1.14,327200
2017-01-24,1.15,1.15,1.11,1.13,1.13,326600
2017-01-25,1.12,1.19,1.11,1.16,1.16,291600
2017-01-26,1.15,1.16,1.13,1.13,1.13,167700
2017-01-27,1.13,1.14,1.11,1.12,1.12,277100
2017-01-30,1.11,1.13,1.1,1.13,1.13,278100
2017-01-31,1.11,1.14,1.1,1.13,1.13,196700
2017-02-01,1.12,1.15,1.12,1.14,1.14,314200
2017-02-02,1.15,1.15,1.12,1.13,1.13,160300
2017-02-03,1.15,1.15,1.1,1.1,1.1,316000
2017-02-06,1.12,1.12,1.1,1.11,1.11,251700
2017-02-07,1.11,1.12,1.08,1.08,1.08,361700
2017-02-08,1.1,1.1,1.06,1.08,1.08,971100
2017-02-09,1.07,1.12,1.07,1.11,1.11,335300
2017-02-10,1.1,1.12,1.1,1.11,1.11,276900
2017-02-13,1.12,1.12,1.08,1.1,1.1,461700
2017-02-14,1.12,1.12,1.08,1.1,1.1,525500
2017-02-15,1.09,1.12,1.09,1.1,1.1,236800
2017-02-16,1.1,1.12,1.08,1.08,1.08,581700
2017-02-17,1.09,1.12,1.08,1.09,1.09,324600
2017-02-21,1.09,1.11,1.08,1.1,1.1,287400
2017-02-22,1.1,1.12,1.08,1.11,1.11,702600
2017-02-23,1.11,1.18,1.11,1.17,1.17,975000
2017-02-24,1.16,1.16,1.12,1.14,1.14,465800
2017-02-27,1.14,1.14,1.1,1.12,1.12,484400
2017-02-28,1.1,1.14,1.1,1.12,1.12,284400
2017-03-01,1.12,1.16,1.12,1.14,1.14,486400
2017-03-02,1.13,1.14,1.1,1.11,1.11,322200
2017-03-03,1.11,1.12,1.07,1.09,1.09,472200
2017-03-06,1.08,1.1,1.08,1.09,1.09,424000
2017-03-07,1.08,1.09,1.07,1.08,1.08,424800
2017-03-08,1.09,1.09,1.04,1.04,1.04,1292200
2017-03-09,1.24,1.25,1.17,1.21,1.21,5711900
2017-03-10,1.19,1.2,1.12,1.13,1.13,1378200
2017-03-13,1.14,1.15,1.1,1.11,1.11,985100
2017-03-14,1.11,1.12,1.09,1.11,1.11,638400
2017-03-15,1.12,1.14,1.09,1.11,1.11,822600
2017-03-16,1.11,1.14,1.1,1.1,1.1,498500
2017-03-17,1.09,1.18,1.09,1.16,1.16,864100
2017-03-20,1.15,1.16,1.1,1.1,1.1,402800
2017-03-21,1.12,1.13,1.08,1.09,1.09,646800
2017-03-22,1.08,1.09,1.05,1.06,1.06,692500
2017-03-23,1.07,1.11,1.07,1.09,1.09,623300
2017-03-24,1.09,1.1,1.09,1.1,1.1,181200
2017-03-27,1.11,1.11,1.06,1.1,1.1,457000
2017-03-28,1.1,1.11,1.07,1.08,1.08,337600
2017-03-29,1.08,1.13,1.08,1.11,1.11,525100
2017-03-30,1.1,1.13,1.08,1.09,1.09,530700
2017-03-31,1.09,1.12,1.08,1.12,1.12,530500
2017-04-03,1.11,1.12,1.08,1.08,1.08,400200
2017-04-04,1.08,1.09,1.05,1.06,1.06,835700
