Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,27.25,27.85,27.15,27.700001,27.570722999999997,859800
2017-01-04,27.85,28.1,27.5,27.9,27.769787,763300
2017-01-05,27.700001,27.85,26.950001,27.1,26.973521999999996,884600
2017-01-06,27.049999,27.5,26.85,26.950001,26.824221,722800
2017-01-09,26.950001,27.1,26.65,26.799999,26.674921,451500
2017-01-10,26.799999,27.299999,26.75,27.049999,26.923754,604900
2017-01-11,27.049999,27.25,26.6,27.049999,26.923754,575400
2017-01-12,27.049999,27.25,26.799999,27.0,26.873989,728600
2017-01-13,27.0,27.6,27.0,27.25,27.12282,600600
2017-01-17,27.0,27.25,26.549999,26.6,26.475853000000004,463600
2017-01-18,26.65,27.0,26.6,27.0,26.873989,327100
2017-01-19,27.15,27.299999,26.6,26.700001,26.575390000000002,793200
2017-01-20,26.75,26.9,26.4,26.5,26.37632,585500
2017-01-23,26.35,26.6,26.200001,26.35,26.227021999999998,555200
2017-01-24,26.4,27.1,26.4,26.9,26.774454,493000
2017-01-25,27.049999,27.65,27.049999,27.549999,27.421419,888400
2017-01-26,27.4,27.4,26.799999,27.049999,26.923754,887700
2017-01-27,27.1,27.65,26.700001,27.549999,27.421419,1038900
2017-01-30,27.5,27.85,27.0,27.799999,27.670253999999996,1148500
2017-01-31,28.9,29.0,27.6,28.1,27.968854999999998,2371900
2017-02-01,28.450001,28.65,28.0,28.15,28.018620000000002,1249800
2017-02-02,27.950001,28.25,27.5,27.75,27.620487,615700
2017-02-03,27.950001,28.15,27.700001,27.9,27.769787,731000
2017-02-06,28.0,28.200001,27.75,28.0,27.869321999999997,459800
2017-02-07,28.0,28.049999,27.4,27.5,27.371655,471800
2017-02-08,27.5,27.6,26.799999,27.6,27.471188,1349300
2017-02-09,27.549999,28.15,27.35,27.450001,27.321888,1010700
2017-02-10,28.1,28.25,27.549999,28.25,28.118153000000003,696900
2017-02-13,28.450001,28.6,27.9,28.25,28.118153000000003,682400
2017-02-14,28.25,28.25,27.200001,27.35,27.222355,1124000
2017-02-15,27.35,28.200001,27.15,27.950001,27.819553000000003,1136000
2017-02-16,28.049999,28.35,27.65,27.9,27.769787,634900
2017-02-17,27.85,28.0,27.629998999999998,27.85,27.72002,427300
2017-02-21,27.950001,28.049999,27.4,27.5,27.371655,503600
2017-02-22,27.4,27.629998999999998,27.299999,27.5,27.371655,412800
2017-02-23,27.450001,27.6,27.0,27.35,27.222355,518100
2017-02-24,26.950001,27.85,26.950001,27.799999,27.670253999999996,477200
2017-02-27,27.799999,28.299999,27.6,28.15,28.018620000000002,521000
2017-02-28,28.1,28.1,27.65,28.0,27.869321999999997,870900
2017-03-01,28.25,28.799999,28.200001,28.549999,28.416752000000002,837000
2017-03-02,28.5,28.549999,27.450001,27.6,27.471188,864100
2017-03-03,27.5,27.75,27.25,27.450001,27.321888,587000
2017-03-06,27.200001,27.65,27.15,27.549999,27.421419,491100
2017-03-07,27.549999,27.83,26.950001,27.0,26.873989,677200
2017-03-08,27.049999,27.35,26.9,27.1,26.973521999999996,564100
2017-03-09,27.200001,27.549999,26.75,26.9,26.774454,457700
2017-03-10,27.1,27.4,26.85,27.35,27.222355,384200
2017-03-13,27.35,27.549999,27.200001,27.200001,27.073055,991700
2017-03-14,27.049999,27.15,26.629998999999998,27.049999,26.923754,570000
2017-03-15,27.15,27.799999,27.0,27.6,27.471188,570600
2017-03-16,27.6,27.780001000000002,27.35,27.6,27.471188,354300
2017-03-17,27.450001,27.700001,27.200001,27.35,27.222355,953000
2017-03-20,27.35,27.5,26.799999,27.049999,26.923754,484900
2017-03-21,27.35,27.35,26.299999,26.700001,26.575390000000002,593300
2017-03-22,26.65,26.950001,26.4,26.5,26.37632,373800
2017-03-23,26.450001,26.85,26.200001,26.25,26.127487,438600
2017-03-24,26.85,26.85,25.799999,26.049999,25.928421,525300
2017-03-27,25.549999,25.98,25.299999,25.549999,25.430754,616200
2017-03-28,25.5,26.15,25.35,26.0,25.878654,638700
2017-03-29,25.85,26.25,25.65,26.0,25.878654,544900
2017-03-30,26.0,26.25,25.75,26.1,25.978188,467400
2017-03-31,26.049999,26.4,25.799999,26.200001,26.077721,334700
2017-04-03,26.35,26.950001,25.9,26.1,25.978188,693200
2017-04-04,26.049999,26.450001,25.879998999999998,26.049999,25.928421,923900
2017-04-05,26.200001,26.5,25.75,25.799999,25.679585999999997,967700
2017-04-06,25.799999,26.0,25.1,25.450001,25.331223,1253600
2017-04-07,25.35,25.549999,25.1,25.450001,25.331223,689800
2017-04-10,25.799999,26.6,25.549999,26.6,26.475853000000004,2497400
2017-04-11,26.4,26.58,25.879998999999998,26.0,25.878654,1482800
2017-04-12,25.950001,25.950001,25.049999,25.200001,25.140406,856100
2017-04-13,24.950001,25.25,24.299999,24.35,24.292416,1005400
2017-04-17,24.35,24.799999,24.200001,24.75,24.691469,1006600
2017-04-18,24.6,24.700001,24.4,24.6,24.541824,670000
2017-04-19,24.700001,25.0,24.549999,24.65,24.591704999999997,961600
2017-04-20,24.75,25.200001,24.530001000000002,25.1,25.040642000000002,1250000
2017-04-21,27.950001,30.200001,26.25,27.15,27.085793,2501900
2017-04-24,27.65,28.299999,27.43,27.950001,27.883902000000003,2121400
2017-04-25,28.0,28.6,27.549999,27.6,27.534729,1531900
2017-04-26,27.549999,28.15,27.49,27.65,27.584609999999998,1079000
2017-04-27,27.65,28.0,27.5,27.799999,27.734254999999997,786300
2017-04-28,27.85,27.85,27.049999,27.299999,27.235437,778400
2017-05-01,27.450001,27.450001,26.93,27.049999,26.986029,724700
2017-05-02,27.049999,27.35,26.9,27.25,27.185556,678900
2017-05-03,27.25,27.35,26.6,27.15,27.085793,862700
2017-05-04,27.35,27.35,26.75,26.950001,26.886267,500700
2017-05-05,26.9,27.1,26.65,26.700001,26.636858,638300
2017-05-08,26.75,27.299999,26.450001,26.5,26.43733,618200
2017-05-09,26.6,26.799999,26.299999,26.4,26.337566,669600
2017-05-10,26.4,26.5,26.049999,26.450001,26.387449,894500
2017-05-11,26.299999,26.4,25.9,26.1,26.038276999999997,581700
2017-05-12,26.1,26.200001,25.75,25.75,25.689104,664700
2017-05-15,25.85,26.1,25.75,25.950001,25.888632,434900
2017-05-16,26.0,26.35,25.700001,26.1,26.038276999999997,687600
2017-05-17,25.799999,25.950001,25.200001,25.200001,25.140406,869200
2017-05-18,25.25,26.15,25.15,25.799999,25.738985,786200
2017-05-19,25.799999,26.129998999999998,25.799999,25.85,25.788868,573900
2017-05-22,25.9,26.4,25.65,26.35,26.287684999999996,831500
2017-05-23,26.299999,27.299999,26.049999,27.049999,26.986029,1186900
2017-05-24,27.049999,27.5,26.950001,27.299999,27.235437,750000
2017-05-25,27.4,27.73,27.0,27.549999,27.484846,943400
2017-05-26,27.6,27.6,26.85,27.0,26.936148,408100
2017-05-30,26.85,27.450001,26.65,27.25,27.185556,588900
2017-05-31,27.299999,27.4,26.93,27.25,27.185556,337700
2017-06-01,27.35,27.49,27.129998999999998,27.35,27.285320000000002,1088600
2017-06-02,27.4,28.1,27.25,27.85,27.784138000000002,668500
2017-06-05,27.75,28.4,27.65,28.200001,28.133312,837300
2017-06-06,28.0,28.35,27.85,28.1,28.033548,440400
2017-06-07,28.25,28.950001,28.15,28.75,28.682011,1054500
2017-06-08,28.75,28.9,28.5,28.799999,28.731892,758600
2017-06-09,28.85,29.200001,28.65,29.0,28.931419,1029600
2017-06-12,29.0,29.950001,28.9,29.450001,29.380356,834100
2017-06-13,29.450001,30.1,29.35,29.5,29.430236999999998,819300
2017-06-14,29.5,29.6,29.0,29.200001,29.130946999999995,681600
2017-06-15,28.75,29.530001000000002,28.549999,29.450001,29.380356,411100
2017-06-16,29.299999,29.43,28.65,29.0,28.931419,858200
2017-06-19,29.299999,29.65,29.0,29.15,29.081064,752000
2017-06-20,29.049999,29.65,28.75,28.799999,28.731892,369400
2017-06-21,28.75,28.799999,28.35,28.450001,28.382721000000004,398100
2017-06-22,28.35,28.65,28.280001000000002,28.549999,28.482483000000002,276800
2017-06-23,28.6,28.85,28.5,28.799999,28.731892,664200
2017-06-26,28.85,29.25,28.85,29.200001,29.130946999999995,491300
2017-06-27,29.25,29.85,29.1,29.299999,29.230709,794400
2017-06-28,29.5,30.0,29.450001,29.75,29.679646,533200
2017-06-29,29.85,30.129998999999998,29.35,29.6,29.530001000000002,496400
2017-06-30,29.65,29.65,29.1,29.35,29.35,469000
2017-07-03,29.5,30.0,29.5,29.85,29.85,242200
2017-07-05,29.950001,30.08,29.73,29.85,29.85,516700
2017-07-06,29.65,29.799999,29.299999,29.35,29.35,509700
2017-07-07,29.450001,29.75,29.299999,29.75,29.75,583300
2017-07-10,29.950001,30.799999,29.030001000000002,29.1,29.1,1246600
2017-07-11,29.1,29.25,28.75,28.9,28.9,750700
2017-07-12,29.200001,29.629998999999998,29.1,29.450001,29.450001,589800
2017-07-13,29.549999,29.6,29.15,29.4,29.4,468100
2017-07-14,29.450001,29.6,29.299999,29.450001,29.450001,438000
2017-07-17,29.5,29.85,29.299999,29.549999,29.549999,827300
2017-07-18,29.5,29.5,28.549999,29.049999,29.049999,543000
2017-07-19,29.200001,29.25,28.75,29.049999,29.049999,336200
2017-07-20,29.1,29.48,28.9,29.4,29.4,531200
2017-07-21,29.5,29.65,29.200001,29.549999,29.549999,469900
2017-07-24,29.549999,29.700001,28.65,29.200001,29.200001,755700
2017-07-25,32.450001,32.450001,30.4,31.15,31.15,3301200
2017-07-26,31.299999,31.68,30.950001,31.450001,31.450001,1187400
2017-07-27,31.549999,31.65,29.58,29.85,29.85,955800
2017-07-28,29.85,30.200001,29.799999,29.950001,29.950001,638300
2017-07-31,30.049999,30.200001,29.450001,29.65,29.65,686100
2017-08-01,29.799999,29.799999,29.049999,29.25,29.25,682700
2017-08-02,29.200001,29.4,29.030001000000002,29.15,29.15,381300
2017-08-03,29.25,29.629998999999998,29.15,29.5,29.5,632900
2017-08-04,29.6,30.4,29.549999,30.0,30.0,675500
2017-08-07,30.049999,30.35,29.75,30.1,30.1,503700
2017-08-08,30.1,30.450001,29.85,30.1,30.1,404000
2017-08-09,29.950001,30.4,29.68,30.35,30.35,341800
2017-08-10,30.25,30.450001,29.85,30.0,30.0,793400
2017-08-11,30.1,30.75,29.950001,30.450001,30.450001,649200
2017-08-14,31.15,31.4,30.799999,31.15,31.15,837200
2017-08-15,31.049999,31.5,30.950001,31.049999,31.049999,516600
2017-08-16,31.1,31.6,30.9,30.950001,30.950001,398200
2017-08-17,30.799999,31.200001,30.6,30.700001,30.700001,648200
2017-08-18,30.549999,30.9,30.309998999999998,30.799999,30.799999,540200
2017-08-21,30.950001,31.549999,30.75,31.1,31.1,722300
2017-08-22,31.1,31.4,30.629998999999998,31.4,31.4,748200
2017-08-23,31.65,31.73,31.1,31.4,31.4,1051800
2017-08-24,31.450001,31.75,30.799999,31.0,31.0,790600
2017-08-25,31.1,31.98,30.950001,31.799999,31.799999,534500
2017-08-28,32.0,32.98,32.0,32.700001,32.700001,1018400
2017-08-29,32.549999,33.779999,32.25,33.400002,33.400002,1336500
2017-08-30,33.25,33.75,33.200001,33.450001,33.450001,1408700
2017-08-31,33.450001,33.450001,32.849998,33.099998,33.099998,941300
2017-09-01,33.25,33.849998,33.200001,33.450001,33.450001,914900
2017-09-05,33.299999,33.799999,32.849998,33.150002,33.150002,1249500
2017-09-06,33.150002,33.549999,33.099998,33.299999,33.299999,774800
2017-09-07,33.400002,34.299999,33.299999,34.099998,34.099998,1126800
2017-09-08,34.0,35.0,33.849998,34.75,34.75,1367500
2017-09-11,34.799999,35.099998,33.540001000000004,34.049999,34.049999,1330400
2017-09-12,34.200001,34.599998,34.049999,34.400002,34.400002,703400
2017-09-13,34.400002,34.400002,33.669998,33.849998,33.849998,1034900
2017-09-14,33.900002,34.150002,33.549999,34.049999,34.049999,783200
2017-09-15,34.099998,34.75,34.0,34.700001,34.700001,858600
2017-09-18,34.75,35.0,34.650002,34.650002,34.650002,640700
2017-09-19,34.799999,35.099998,34.529999,34.650002,34.650002,593800
2017-09-20,34.75,35.450001,34.75,35.299999,35.299999,666000
2017-09-21,35.400002,35.900002,35.0,35.75,35.75,907400
2017-09-22,35.75,35.900002,35.400002,35.549999,35.549999,570200
2017-09-25,35.400002,35.450001,34.5,34.799999,34.799999,1247000
2017-09-26,35.0,35.5,34.75,35.450001,35.450001,710700
2017-09-27,35.450001,36.200001,35.400002,36.099998,36.099998,758800
2017-09-28,36.150002,36.299999,35.900002,36.0,36.0,380500
2017-09-29,36.150002,36.599998,35.849998,36.549999,36.549999,784968
