Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,45.25,46.700001,44.450001,44.950001,44.950001,516900
2017-01-04,45.25,46.799999,44.650002,46.200001,46.200001,335400
2017-01-05,46.25,47.150002,45.900002,47.0,47.0,231900
2017-01-06,47.099998,47.799999,46.605,47.450001,47.450001,245100
2017-01-09,47.5,48.349998,47.0,47.900002,47.900002,240200
2017-01-10,47.950001,48.950001,47.950001,48.5,48.5,231700
2017-01-11,48.5,51.125,48.299999,51.0,51.0,567100
2017-01-12,50.799999,51.299999,49.450001,50.349998,50.349998,419800
2017-01-13,50.650002,51.450001,50.099998,50.650002,50.650002,492200
2017-01-17,50.549999,51.5,50.099998,51.049999,51.049999,276400
2017-01-18,51.400002,52.700001,50.900002,52.5,52.5,314000
2017-01-19,52.599998,54.349998,52.049999,54.049999,54.049999,532300
2017-01-20,54.25,54.650002,52.950001,53.450001,53.450001,413700
2017-01-23,53.549999,54.650002,53.349998,53.75,53.75,180000
2017-01-24,53.75,55.400002,53.400002,55.299999,55.299999,359000
2017-01-25,55.799999,56.5,55.549999,56.200001,56.200001,573200
2017-01-26,56.450001,56.849998,54.700001,55.049999,55.049999,465800
2017-01-27,54.950001,55.200001,54.255001,54.700001,54.700001,234300
2017-01-30,54.400002,54.400002,53.0,53.25,53.25,229800
2017-01-31,53.400002,53.549999,52.549999,52.549999,52.549999,174800
2017-02-01,53.099998,54.200001,51.5,52.25,52.25,319700
2017-02-02,52.049999,52.450001,51.049999,51.450001,51.450001,303400
2017-02-03,51.400002,52.400002,51.400002,52.200001,52.200001,398100
2017-02-06,52.200001,52.599998,51.400002,51.900002,51.900002,405300
2017-02-07,51.900002,52.450001,51.75,51.900002,51.900002,330400
2017-02-08,51.900002,53.299999,51.5,52.849998,52.849998,571900
2017-02-09,53.0,54.794998,53.0,54.349998,54.349998,599700
2017-02-10,54.650002,54.799999,52.950001,53.349998,53.349998,258400
2017-02-13,53.700001,54.049999,51.799999,52.950001,52.950001,448700
2017-02-14,52.950001,53.75,52.700001,52.950001,52.950001,604400
2017-02-15,56.599998,62.650002,56.400002,61.5,61.5,2359700
2017-02-16,61.75,64.300003,60.700001,62.950001,62.950001,833200
2017-02-17,60.400002,64.0,60.299999,63.849998,63.849998,552700
2017-02-21,64.0,66.0,64.0,65.550003,65.550003,745400
2017-02-22,65.550003,66.900002,64.599998,65.550003,65.550003,406600
2017-02-23,65.550003,66.566002,63.099998,63.25,63.25,595400
2017-02-24,62.849998,65.449997,62.049999,65.050003,65.050003,406100
2017-02-27,65.0,65.400002,63.700001,64.050003,64.050003,723400
2017-02-28,63.900002,64.25,62.299999,62.299999,62.299999,255500
2017-03-01,63.25,63.695,62.549999,62.75,62.75,403000
2017-03-02,62.700001,63.150002,61.639998999999996,62.099998,62.099998,346900
2017-03-03,61.849998,62.450001,61.150002,61.400002,61.400002,267700
2017-03-06,61.049999,62.5,60.450001,62.25,62.25,201800
2017-03-07,62.099998,64.849998,61.75,63.849998,63.849998,601200
2017-03-08,64.099998,65.5,63.049999,63.5,63.5,465000
2017-03-09,63.650002,64.449997,63.200001,64.300003,64.300003,167700
2017-03-10,64.5,66.275002,64.349998,65.900002,65.900002,631100
2017-03-13,65.800003,68.650002,65.800003,68.099998,68.099998,572100
2017-03-14,67.900002,69.650002,67.400002,69.25,69.25,1466600
2017-03-15,69.050003,69.07399699999999,65.150002,68.5,68.5,788400
2017-03-16,69.099998,71.099998,68.75,68.800003,68.800003,679600
2017-03-17,68.900002,70.150002,68.449997,68.599998,68.599998,406700
2017-03-20,68.650002,70.099998,68.099998,68.949997,68.949997,484400
2017-03-21,69.300003,69.900002,66.550003,67.099998,67.099998,667300
2017-03-22,67.0,67.845001,65.75,67.150002,67.150002,462200
2017-03-23,67.0,67.400002,65.199997,66.0,66.0,487300
2017-03-24,66.400002,67.599998,66.199997,66.650002,66.650002,342900
2017-03-27,65.25,66.800003,63.213001,66.150002,66.150002,404800
2017-03-28,66.0,67.300003,65.300003,66.300003,66.300003,255700
2017-03-29,66.550003,67.20099599999999,65.849998,66.75,66.75,438100
2017-03-30,66.75,67.099998,65.300003,65.849998,65.849998,283200
2017-03-31,65.699997,68.900002,64.900002,67.900002,67.900002,837300
2017-04-03,69.349998,75.75,69.349998,74.75,74.75,2877900
2017-04-04,75.25,77.949997,74.650002,75.199997,75.199997,1784700
2017-04-05,76.400002,79.300003,75.300003,75.900002,75.900002,2304800
2017-04-06,76.0,77.75,74.849998,76.300003,76.300003,869900
2017-04-07,76.400002,77.050003,74.550003,76.25,76.25,689600
2017-04-10,76.349998,78.300003,76.150002,76.300003,76.300003,810100
2017-04-11,75.849998,76.75,73.900002,76.5,76.5,935900
2017-04-12,77.0,78.5,74.5,74.599998,74.599998,764800
2017-04-13,73.849998,75.25,72.5,75.0,75.0,769600
2017-04-17,75.199997,75.269997,73.199997,73.400002,73.400002,554200
2017-04-18,73.300003,73.300003,69.75,70.550003,70.550003,1550100
2017-04-19,70.25,71.050003,67.150002,69.699997,69.699997,3318800
2017-04-20,70.199997,70.900002,68.199997,68.900002,68.900002,1098200
2017-04-21,68.75,70.75,68.706001,70.599998,70.599998,901200
2017-04-24,71.949997,74.5,70.0,73.599998,73.599998,1318200
2017-04-25,74.5,83.25,74.150002,82.25,82.25,3513300
2017-04-26,84.0,86.150002,80.349998,82.25,82.25,3015900
2017-04-27,83.5,83.5,79.0,81.199997,81.199997,1735100
2017-04-28,81.449997,84.0,80.25,82.449997,82.449997,1023200
2017-05-01,82.150002,83.5,79.400002,81.400002,81.400002,859000
2017-05-02,82.0,82.349998,73.349998,75.449997,75.449997,2300100
2017-05-03,75.150002,76.849998,73.5,75.400002,75.400002,919100
2017-05-04,75.800003,77.275002,74.0,76.199997,76.199997,614400
2017-05-05,76.349998,76.599998,72.550003,73.300003,73.300003,1092500
2017-05-08,73.099998,75.349998,70.699997,75.300003,75.300003,1165000
2017-05-09,76.099998,76.900002,72.5,74.150002,74.150002,1773600
2017-05-10,79.849998,81.349998,74.800003,77.449997,77.449997,1918900
2017-05-11,78.349998,78.449997,74.150002,74.199997,74.199997,867500
2017-05-12,74.0,78.699997,73.900002,78.300003,78.300003,880300
2017-05-15,78.449997,80.449997,77.699997,78.400002,78.400002,1075100
2017-05-16,78.699997,78.699997,76.150002,76.849998,76.849998,962000
2017-05-17,76.599998,76.599998,71.800003,72.150002,72.150002,915200
2017-05-18,72.900002,74.949997,72.0,73.800003,73.800003,932300
2017-05-19,74.449997,76.550003,73.849998,73.949997,73.949997,662300
2017-05-22,74.099998,76.900002,74.099998,76.300003,76.300003,775800
2017-05-23,76.300003,76.449997,73.050003,73.449997,73.449997,848200
2017-05-24,73.849998,75.5,73.550003,75.349998,75.349998,461900
2017-05-25,75.75,77.449997,74.650002,76.099998,76.099998,598300
2017-05-26,76.400002,77.449997,75.599998,77.25,77.25,402200
2017-05-30,77.150002,78.400002,73.480003,74.75,74.75,781000
2017-05-31,74.400002,74.988998,72.339996,73.699997,73.699997,742200
2017-06-01,73.800003,75.099998,73.0,73.75,73.75,751100
2017-06-02,74.300003,76.800003,73.0,76.650002,76.650002,866300
2017-06-05,76.349998,77.599998,75.449997,75.550003,75.550003,772500
2017-06-06,76.0,79.849998,74.900002,77.75,77.75,1104600
2017-06-07,77.75,79.699997,77.449997,79.449997,79.449997,1122700
2017-06-08,79.5,80.349998,76.150002,78.849998,78.849998,965000
2017-06-09,78.5,79.849998,73.0,73.75,73.75,1344400
2017-06-12,73.150002,73.949997,67.25,70.550003,70.550003,1714500
2017-06-13,71.900002,73.5,71.0,73.150002,73.150002,1017700
2017-06-14,73.550003,74.0,69.849998,70.5,70.5,809500
2017-06-15,69.050003,70.0,68.300003,68.900002,68.900002,530600
2017-06-16,68.550003,70.550003,68.050003,69.25,69.25,399900
2017-06-19,70.199997,73.150002,69.5,71.849998,71.849998,496700
2017-06-20,72.199997,73.199997,70.675003,70.75,70.75,652800
2017-06-21,70.75,72.449997,69.800003,72.300003,72.300003,451900
2017-06-22,72.199997,73.75,71.099998,72.800003,72.800003,550700
2017-06-23,74.0,77.449997,73.150002,76.949997,76.949997,1079600
2017-06-26,77.400002,77.400002,72.199997,72.550003,72.550003,694400
2017-06-27,72.150002,74.25,70.949997,71.150002,71.150002,660200
2017-06-28,71.75,74.199997,70.349998,73.349998,73.349998,792900
2017-06-29,72.550003,73.0,68.75,69.5,69.5,915500
2017-06-30,71.0,71.0,68.650002,69.599998,69.599998,693700
2017-07-03,70.199997,70.199997,67.650002,69.199997,69.199997,317100
2017-07-05,69.900002,70.849998,68.550003,70.25,70.25,375900
2017-07-06,69.349998,70.75,68.720001,69.300003,69.300003,334900
2017-07-07,69.650002,71.599998,69.386002,70.300003,70.300003,405200
2017-07-10,71.150002,71.525002,69.0,69.400002,69.400002,361100
2017-07-11,69.349998,71.449997,68.75,71.400002,71.400002,622900
2017-07-12,72.0,74.800003,71.862,74.150002,74.150002,1100600
2017-07-13,74.349998,75.050003,72.900002,73.849998,73.849998,1486800
2017-07-14,74.449997,75.75,73.099998,73.849998,73.849998,842000
2017-07-17,73.5,74.5,73.011002,73.900002,73.900002,540100
2017-07-18,73.550003,74.550003,72.699997,73.099998,73.099998,605800
2017-07-19,73.650002,76.199997,73.504997,76.150002,76.150002,1203400
2017-07-20,72.949997,76.219002,72.050003,73.199997,73.199997,1328300
2017-07-21,72.75,73.550003,72.150002,73.099998,73.099998,746000
2017-07-24,73.400002,75.949997,73.099998,75.650002,75.650002,796800
2017-07-25,75.900002,76.29499799999999,73.849998,75.949997,75.949997,600500
2017-07-26,76.199997,77.150002,75.150002,76.849998,76.849998,1165400
2017-07-27,77.599998,77.925003,72.75,73.599998,73.599998,1078100
2017-07-28,66.0,67.599998,61.0,63.900002,63.900002,3823300
2017-07-31,64.75,65.099998,61.049999,61.700001,61.700001,2332000
2017-08-01,62.900002,64.0,60.799999,62.349998,62.349998,1671800
2017-08-02,63.099998,63.299999,60.5,61.650002,61.650002,1313300
2017-08-03,62.049999,63.25,61.650002,62.75,62.75,810300
2017-08-04,62.299999,62.799999,60.099998,60.25,60.25,721700
2017-08-07,60.349998,60.450001,57.849998,58.599998,58.599998,1472900
2017-08-08,58.150002,59.450001,57.549999,58.650002,58.650002,1253600
2017-08-09,56.5,61.849998,54.549999,58.599998,58.599998,2078900
2017-08-10,58.099998,58.845001,56.599998,56.900002,56.900002,1113700
2017-08-11,56.950001,57.849998,56.650002,57.700001,57.700001,520100
2017-08-14,58.75,60.549999,58.349998,60.5,60.5,1147200
2017-08-15,60.650002,61.294998,58.049999,58.150002,58.150002,514700
2017-08-16,58.950001,60.349998,56.950001,60.0,60.0,660300
2017-08-17,59.700001,61.0,58.950001,59.799999,59.799999,991800
2017-08-18,59.950001,60.900002,59.049999,60.150002,60.150002,603000
2017-08-21,60.349998,60.349998,58.325001,59.049999,59.049999,378500
2017-08-22,59.5,60.75,59.099998,60.650002,60.650002,355800
2017-08-23,59.950001,61.474998,59.644001,60.650002,60.650002,336300
2017-08-24,61.049999,61.450001,59.849998,60.950001,60.950001,377600
2017-08-25,61.650002,62.799999,60.099998,60.200001,60.200001,424300
2017-08-28,60.400002,61.299999,59.599998,60.549999,60.549999,283700
2017-08-29,59.599998,61.450001,59.099998,61.0,61.0,716700
2017-08-30,61.049999,64.449997,61.049999,64.050003,64.050003,783600
2017-08-31,64.5,66.650002,63.200001,65.099998,65.099998,797800
2017-09-01,65.150002,65.650002,64.349998,64.449997,64.449997,370400
2017-09-05,64.050003,66.25,63.400002,65.800003,65.800003,680100
2017-09-06,66.0,68.199997,64.650002,65.150002,65.150002,896900
2017-09-07,65.5,67.050003,64.550003,66.150002,66.150002,326200
2017-09-08,66.150002,66.550003,64.949997,65.300003,65.300003,507800
2017-09-11,65.449997,67.449997,65.449997,67.199997,67.199997,388500
2017-09-12,67.25,68.400002,66.349998,68.349998,68.349998,528600
2017-09-13,68.349998,68.599998,67.449997,68.150002,68.150002,546100
2017-09-14,67.900002,69.300003,67.099998,69.050003,69.050003,515600
2017-09-15,68.5,70.349998,68.425003,69.550003,69.550003,501400
2017-09-18,69.199997,70.75,69.199997,69.800003,69.800003,500300
2017-09-19,69.900002,70.550003,69.20500200000001,70.150002,70.150002,346900
2017-09-20,69.949997,70.625,69.099998,69.199997,69.199997,586200
2017-09-21,69.25,70.0,67.199997,68.650002,68.650002,599000
2017-09-22,68.400002,69.400002,68.025002,68.400002,68.400002,368900
2017-09-25,68.349998,69.25,65.349998,67.050003,67.050003,489600
2017-09-26,67.150002,68.074997,66.349998,67.349998,67.349998,398000
2017-09-27,67.900002,70.449997,67.349998,70.099998,70.099998,539900
2017-09-28,70.0,71.224998,69.199997,70.599998,70.599998,439800
2017-09-29,70.650002,72.400002,70.650002,71.849998,71.849998,866468
