Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,4.325,4.35,4.0,4.3,4.3,55900
2017-01-04,4.25,4.85,4.25,4.45,4.45,28500
2017-01-05,4.5,4.55,4.4,4.55,4.55,4000
2017-01-06,4.45,4.45,4.35,4.35,4.35,3400
2017-01-09,4.3674,4.6,4.2,4.45,4.45,6500
2017-01-10,4.45,4.7,4.4,4.7,4.7,9800
2017-01-11,4.4,4.7,4.2,4.7,4.7,14400
2017-01-12,4.55,4.7,4.35,4.7,4.7,19600
2017-01-13,4.55,4.6,4.4,4.55,4.55,11100
2017-01-17,4.5,4.5,4.25,4.3,4.3,25000
2017-01-18,4.4,4.8,4.2,4.3995,4.3995,93900
2017-01-19,4.3995,4.3995,4.3995,4.3995,4.3995,0
2017-01-20,4.35,4.45,4.2,4.45,4.45,6600
2017-01-23,4.45,4.45,4.15,4.35,4.35,4600
2017-01-24,4.4,4.4,4.25,4.25,4.25,1400
2017-01-25,4.35,4.6357,4.1,4.3,4.3,8300
2017-01-26,4.3,4.3,3.605,3.9804,3.9804,17100
2017-01-27,4.0,4.0,3.55,3.85,3.85,21200
2017-01-30,3.8,3.8,3.6,3.75,3.75,6200
2017-01-31,3.6,3.85,3.55,3.85,3.85,12400
2017-02-01,3.8,3.8,3.6,3.75,3.75,6900
2017-02-02,3.75,3.85,3.75,3.85,3.85,4800
2017-02-03,3.85,3.85,3.85,3.85,3.85,0
2017-02-06,3.85,3.85,3.75,3.8,3.8,9300
2017-02-07,3.81,3.81,3.81,3.81,3.81,2000
2017-02-08,3.75,3.7657,3.5,3.7,3.7,21200
2017-02-09,3.7,3.75,3.7,3.75,3.75,1200
2017-02-10,3.8,3.85,3.8,3.85,3.85,1700
2017-02-13,3.8435,4.29,3.8435,4.15,4.15,3800
2017-02-14,4.1,4.45,4.05,4.45,4.45,3600
2017-02-15,4.25,4.5,4.25,4.5,4.5,7500
2017-02-16,4.5,4.75,4.35,4.45,4.45,2000
2017-02-17,4.5,4.75,4.5,4.75,4.75,2200
2017-02-21,4.625,4.75,4.6,4.75,4.75,1200
2017-02-22,4.5695,4.7,4.45,4.65,4.65,5700
