Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,9.46,9.97,9.46,9.95,9.95,165800
2017-01-04,9.95,10.73,9.95,10.7,10.7,238500
2017-01-05,10.73,10.75,10.1,10.2,10.2,134900
2017-01-06,10.25,10.3,9.99,10.02,10.02,101200
2017-01-09,10.02,10.77,9.84,10.4,10.4,227000
2017-01-10,10.49,10.68,10.12,10.15,10.15,147900
2017-01-11,10.15,10.35,10.01,10.16,10.16,106000
2017-01-12,10.2,10.43,10.05,10.41,10.41,116000
2017-01-13,10.49,10.68,10.4,10.55,10.55,105500
2017-01-17,10.45,10.59,10.12,10.12,10.12,86800
2017-01-18,10.13,10.39,10.03,10.18,10.18,108800
2017-01-19,10.27,10.57,10.1,10.2,10.2,153400
2017-01-20,10.25,10.63,10.15,10.43,10.43,149600
2017-01-23,10.38,10.44,9.74,9.78,9.78,190500
2017-01-24,9.87,9.94,9.61,9.92,9.92,150000
2017-01-25,9.85,10.19,9.85,10.11,10.11,127100
2017-01-26,10.2,10.28,9.7,9.9,9.9,134500
2017-01-27,9.87,9.92,9.68,9.73,9.73,78400
2017-01-30,9.75,10.05,9.37,9.87,9.87,200400
2017-01-31,9.86,10.09,9.61,9.85,9.85,109500
2017-02-01,9.91,10.06,9.65,9.77,9.77,81200
2017-02-02,9.71,9.85,9.62,9.66,9.66,70300
2017-02-03,9.74,9.81,9.6,9.75,9.75,92500
2017-02-06,9.79,9.86,9.37,9.55,9.55,107700
2017-02-07,9.55,9.72,9.5,9.59,9.59,85400
2017-02-08,9.5,9.73,9.38,9.72,9.72,115500
2017-02-09,9.73,10.1,9.68,10.02,10.02,155100
2017-02-10,10.27,10.27,9.97,10.1,10.1,123300
2017-02-13,10.15,10.28,10.03,10.15,10.15,73500
2017-02-14,10.1,10.38,10.03,10.2,10.2,161600
2017-02-15,10.2,10.43,10.0,10.16,10.16,69700
2017-02-16,10.19,10.25,10.0,10.19,10.19,92600
2017-02-17,10.16,10.25,10.04,10.21,10.21,106600
2017-02-21,10.5,11.03,10.5,10.76,10.76,318200
2017-02-22,10.65,10.77,10.5,10.7,10.7,138000
2017-02-23,10.75,10.8,10.42,10.5,10.5,157400
2017-02-24,10.51,10.51,10.25,10.46,10.46,109100
2017-02-27,10.5,10.69,10.34,10.66,10.66,82900
2017-02-28,10.66,10.66,9.85,9.92,9.92,156100
2017-03-01,10.09,10.31,10.05,10.21,10.21,118800
2017-03-02,10.27,10.34,9.9,9.97,9.97,118600
2017-03-03,9.95,10.0,9.73,9.88,9.88,148700
2017-03-06,9.76,9.91,9.6,9.81,9.81,125200
2017-03-07,9.77,10.04,9.7,9.96,9.96,182600
2017-03-08,10.01,10.08,9.89,10.04,10.04,193000
2017-03-09,9.96,10.04,9.64,9.68,9.68,153900
2017-03-10,9.84,10.06,9.63,10.03,10.03,159100
2017-03-13,10.07,10.3,10.04,10.17,10.17,136200
2017-03-14,10.1,10.1,9.64,9.8,9.8,95500
2017-03-15,9.88,10.18,9.69,10.11,10.11,143600
2017-03-16,10.17,10.3,10.04,10.18,10.18,160000
2017-03-17,9.25,10.45,9.25,10.45,10.45,547800
