Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,7.15,7.2,6.95,7.1,7.1,113100
2017-01-04,7.1,7.55,7.1,7.45,7.45,402100
2017-01-05,7.4,7.45,7.25,7.3,7.3,143800
2017-01-06,7.3,7.45,7.2,7.4,7.4,150800
2017-01-09,7.4,7.45,7.25,7.25,7.25,155500
2017-01-10,7.25,7.35,7.0,7.15,7.15,118300
2017-01-11,7.15,7.15,6.93,6.95,6.95,131300
2017-01-12,6.95,7.05,6.8,6.85,6.85,136800
2017-01-13,6.9,7.0,6.9,6.95,6.95,82900
2017-01-17,6.95,6.95,6.8,6.85,6.85,118100
2017-01-18,6.95,7.0,6.75,6.75,6.75,116000
2017-01-19,6.75,7.0,6.7,6.8,6.8,163000
2017-01-20,6.85,7.03,6.75,6.8,6.8,131900
2017-01-23,6.75,6.95,6.75,6.8,6.8,85900
2017-01-24,6.85,7.15,6.8,7.0,7.0,175000
2017-01-25,7.1,7.15,6.8,6.9,6.9,102700
2017-01-26,6.85,6.9,6.6,6.7,6.7,205900
2017-01-27,6.75,6.8,6.55,6.75,6.75,133800
2017-01-30,6.7,6.7,6.5,6.6,6.6,91700
2017-01-31,6.6,6.7,6.5,6.7,6.7,138500
2017-02-01,6.7,7.0,6.7,6.8,6.8,123800
2017-02-02,6.8,6.85,6.6,6.65,6.65,70300
2017-02-03,6.65,6.8,6.55,6.7,6.7,108900
2017-02-06,6.6,6.75,6.45,6.6,6.6,123600
2017-02-07,6.6,6.65,6.1,6.1,6.1,282200
2017-02-08,6.1,6.45,6.1,6.25,6.25,180200
2017-02-09,6.35,6.7,6.2,6.5,6.5,325600
2017-02-10,6.55,6.7,6.4,6.45,6.45,184500
2017-02-13,6.5,6.55,6.2,6.25,6.25,314600
2017-02-14,6.25,6.55,6.1,6.45,6.45,263200
2017-02-15,6.45,6.55,6.35,6.5,6.5,104600
2017-02-16,6.5,6.55,6.4,6.45,6.45,77700
2017-02-17,6.5,6.55,6.35,6.45,6.45,125600
2017-02-21,6.5,6.55,6.45,6.5,6.5,58200
2017-02-22,6.5,6.53,6.35,6.4,6.4,105000
2017-02-23,6.45,6.5,6.24,6.3,6.3,152800
2017-02-24,6.2,6.3,6.1,6.2,6.2,265000
2017-02-27,6.15,6.5,6.15,6.45,6.45,197400
2017-02-28,6.4,6.45,6.0,6.05,6.05,339500
2017-03-01,6.1,6.35,5.95,6.0,6.0,347500
2017-03-02,6.0,6.3,5.95,6.25,6.25,231300
2017-03-03,6.2,6.3,6.1,6.25,6.25,121100
2017-03-06,6.25,6.25,6.0,6.1,6.1,226300
2017-03-07,6.05,6.2,5.9,6.0,6.0,347500
2017-03-08,6.5,7.0,5.95,6.75,6.75,1822000
2017-03-09,6.85,7.1,6.85,7.0,7.0,460400
2017-03-10,7.05,7.15,6.75,6.85,6.85,277000
2017-03-13,6.9,7.1,6.85,6.95,6.95,306600
2017-03-14,6.95,7.1,6.8,7.05,7.05,257600
2017-03-15,7.1,7.25,6.98,7.05,7.05,271500
2017-03-16,7.05,7.25,7.0,7.25,7.25,283300
2017-03-17,7.2,7.25,7.0,7.15,7.15,340000
2017-03-20,7.05,7.4,7.05,7.15,7.15,366100
2017-03-21,7.1,7.25,6.9,7.1,7.1,269400
2017-03-22,7.15,7.15,6.6,6.65,6.65,358400
2017-03-23,6.7,6.8,6.55,6.65,6.65,238900
2017-03-24,6.65,6.85,6.4,6.45,6.45,199900
2017-03-27,6.45,6.5,6.35,6.45,6.45,169600
2017-03-28,6.4,6.95,6.3,6.85,6.85,321500
2017-03-29,6.85,7.05,6.65,7.0,7.0,315000
2017-03-30,7.05,7.1,6.9,6.95,6.95,231800
2017-03-31,7.05,7.4,6.9,7.2,7.2,683600
2017-04-03,7.2,7.4,7.03,7.1,7.1,219300
2017-04-04,7.1,7.26,7.0,7.05,7.05,235300
2017-04-05,7.1,7.15,7.0,7.0,7.0,174200
2017-04-06,7.0,7.1,6.9,7.05,7.05,275200
2017-04-07,7.05,7.2,7.0,7.1,7.1,265100
2017-04-10,7.15,7.2,6.9,6.95,6.95,152100
2017-04-11,7.0,7.05,6.75,7.05,7.05,235400
2017-04-12,6.95,7.0,6.6,6.65,6.65,231400
2017-04-13,6.65,6.8,6.6,6.7,6.7,229000
2017-04-17,6.7,7.0,6.7,6.9,6.9,251500
2017-04-18,6.8,6.85,6.55,6.8,6.8,189900
2017-04-19,6.8,7.05,6.68,6.85,6.85,361400
2017-04-20,6.9,7.2,6.9,7.15,7.15,237900
2017-04-21,7.1,7.2,7.0,7.05,7.05,285300
2017-04-24,7.15,7.2,6.95,7.05,7.05,262500
2017-04-25,7.15,7.2,7.0,7.05,7.05,165800
2017-04-26,7.0,7.08,6.9,6.95,6.95,225300
2017-04-27,7.0,7.1,6.95,7.05,7.05,127700
2017-04-28,7.05,7.15,6.8,7.1,7.1,285500
2017-05-01,7.1,7.1,6.83,7.05,7.05,173400
2017-05-02,7.1,7.7,7.04,7.6,7.6,889100
2017-05-03,7.7,8.18,7.4,7.8,7.8,937300
2017-05-04,7.8,8.1,7.8,8.05,8.05,522100
2017-05-05,8.05,8.1,7.75,7.95,7.95,457200
2017-05-08,7.95,8.1,7.85,8.0,8.0,348500
2017-05-09,8.05,8.5,8.0,8.45,8.45,468300
2017-05-10,8.4,9.15,8.35,8.85,8.85,559300
2017-05-11,8.85,8.95,8.65,8.75,8.75,337600
2017-05-12,8.75,8.85,8.55,8.7,8.7,337700
2017-05-15,8.7,8.85,8.6,8.65,8.65,166500
2017-05-16,8.55,8.8,8.5,8.75,8.75,341700
2017-05-17,8.6,8.65,8.2,8.25,8.25,250900
2017-05-18,8.3,8.35,8.0,8.1,8.1,278400
2017-05-19,8.05,8.25,8.03,8.2,8.2,136900
2017-05-22,8.25,8.35,8.1,8.15,8.15,137900
2017-05-23,8.15,8.2,8.05,8.1,8.1,158700
2017-05-24,8.1,8.25,8.05,8.1,8.1,144400
2017-05-25,8.1,8.18,8.0,8.15,8.15,208800
2017-05-26,8.05,8.3,8.05,8.2,8.2,140900
2017-05-30,8.2,8.4,8.15,8.3,8.3,149200
2017-05-31,8.3,8.4,8.1,8.35,8.35,250500
2017-06-01,8.25,8.75,8.25,8.6,8.6,286800
2017-06-02,8.5,8.75,8.31,8.5,8.5,362000
2017-06-05,8.45,8.6,8.3,8.35,8.35,140600
2017-06-06,8.25,8.5,8.2,8.45,8.45,181000
2017-06-07,8.45,8.7,8.38,8.5,8.5,232400
2017-06-08,8.5,8.78,8.4,8.7,8.7,132300
2017-06-09,8.7,9.15,8.7,9.0,9.0,415800
2017-06-12,8.9,9.0,8.6,8.7,8.7,202600
2017-06-13,8.7,8.75,8.4,8.55,8.55,201300
2017-06-14,8.6,8.7,8.42,8.6,8.6,93000
2017-06-15,8.55,8.65,8.55,8.6,8.6,39500
2017-06-16,8.4,8.6,8.05,8.35,8.35,425500
2017-06-19,8.35,8.5,8.35,8.5,8.5,186400
2017-06-20,8.5,8.5,8.15,8.2,8.2,84300
2017-06-21,8.25,8.5,8.15,8.45,8.45,248200
2017-06-22,8.45,8.78,8.45,8.55,8.55,300800
2017-06-23,8.55,8.9,8.5,8.85,8.85,902800
2017-06-26,8.9,8.9,8.65,8.75,8.75,146500
2017-06-27,8.65,8.8,8.5,8.65,8.65,122300
2017-06-28,8.75,8.95,8.7,8.85,8.85,253900
2017-06-29,8.85,9.0,8.75,8.8,8.8,235000
2017-06-30,8.85,8.9,8.6,8.65,8.65,105200
2017-07-03,8.6,8.85,8.55,8.85,8.85,71400
2017-07-05,8.85,8.85,8.5,8.65,8.65,95300
2017-07-06,8.65,8.65,8.35,8.6,8.6,123800
2017-07-07,8.6,8.65,8.45,8.5,8.5,119300
2017-07-10,8.45,8.55,8.4,8.45,8.45,173800
2017-07-11,8.5,8.5,8.4,8.4,8.4,70800
2017-07-12,8.5,8.65,8.3,8.5,8.5,130600
2017-07-13,8.5,8.5,8.35,8.45,8.45,56700
2017-07-14,8.5,8.55,8.4,8.55,8.55,99000
2017-07-17,8.5,8.65,8.45,8.55,8.55,70900
2017-07-18,8.5,8.55,8.35,8.4,8.4,73200
2017-07-19,8.4,8.5,8.35,8.45,8.45,89800
2017-07-20,8.45,8.65,8.45,8.65,8.65,52600
2017-07-21,8.65,8.65,8.4,8.45,8.45,287700
2017-07-24,8.5,8.6,8.45,8.6,8.6,69600
2017-07-25,8.6,8.8,8.57,8.7,8.7,78300
2017-07-26,8.7,8.85,8.6,8.75,8.75,106600
2017-07-27,8.7,8.75,8.5,8.5,8.5,135500
